direct_pdgs,count,fraction
-211 16 111,514,0.25610363726955654
-12 11 16,386,0.19232685600398605
-14 13 16,333,0.16591928251121077
-211 16,225,0.11210762331838565
-211 16 111 111,172,0.08570004982561036
-211 -211 16 211,170,0.08470353761833582
-211 -211 16 111 211,95,0.04733432984554061
-211 16 111 111 111,16,0.007972097658196313
-311 -211 16,15,0.007473841554559043
-321 16,12,0.005979073243647235
-211 -211 16 111 111 211,9,0.004484304932735426
-321 -211 16 211,8,0.003986048829098156
-321 16 311,7,0.003487792725460887
-321 16 111,6,0.0029895366218236174
-211 16 22 111,6,0.0029895366218236174
-321 16 223,3,0.0014947683109118087
-321 16 111 311,3,0.0014947683109118087
-321 16 111 111 111,3,0.0014947683109118087
-211 -211 -211 16 211 211,2,0.000996512207274539
-321 -211 16 111 211,2,0.000996512207274539
-211 16 130 310,2,0.000996512207274539
-211 16 111 111 111 111,2,0.000996512207274539
-16 -13 14,2,0.000996512207274539
-321 -211 16 321,2,0.000996512207274539
-16 -11 12,2,0.000996512207274539
-211 16 111 221,2,0.000996512207274539
-311 -211 16 111,2,0.000996512207274539
-211 -211 16 211 221,1,0.0004982561036372695
-211 -211 16 211 223,1,0.0004982561036372695
-323 16 221,1,0.0004982561036372695
-311 -211 16 111 311,1,0.0004982561036372695
-16 111 111 211,1,0.0004982561036372695
-211 -16 111 211 211,1,0.0004982561036372695
