level,pdg,name,count
tau,-15,τ+,6
tau,15,τ−,2001
direct,-11,e+,2
direct,11,e−,386
direct,-12,anti-νe,386
direct,12,νe,2
direct,-13,μ+,2
direct,13,μ−,333
direct,-14,anti-νμ,333
direct,14,νμ,2
direct,-16,anti-ντ,6
direct,16,ντ,2001
direct,22,γ,6
direct,111,π0,1061
direct,130,KL0,2
direct,-211,π−,1528
direct,211,π+,293
direct,221,η,4
direct,223,ω,4
direct,310,KS0,2
direct,-311,anti-K0,18
direct,311,K0,11
direct,-321,K−,46
direct,321,K+,2
direct,-323,K*−,1
stable,-11,e+,11
stable,11,e−,395
stable,-12,anti-νe,386
stable,12,νe,2
stable,-13,μ+,2
stable,13,μ−,333
stable,-14,anti-νμ,333
stable,14,νμ,2
stable,-16,anti-ντ,6
stable,16,ντ,2001
stable,22,γ,2155
stable,130,KL0,21
stable,-211,π−,1544
stable,211,π+,308
stable,-321,K−,46
stable,321,K+,2
