pid_type,n_daughters,n_taus,pdg,name,count
reconstructed,1,1107,0,unassigned,805
reconstructed,1,1107,-11,e+,2
reconstructed,1,1107,11,e−,153
reconstructed,1,1107,-211,π−,109
reconstructed,1,1107,211,π+,0
reconstructed,1,1107,-321,K−,28
reconstructed,1,1107,321,K+,0
reconstructed,1,1107,-2212,-2212,10
reconstructed,1,1107,2212,2212,0
reconstructed,2,561,0,unassigned,749
reconstructed,2,561,-11,e+,3
reconstructed,2,561,11,e−,138
reconstructed,2,561,-211,π−,196
reconstructed,2,561,211,π+,6
reconstructed,2,561,-321,K−,18
reconstructed,2,561,321,K+,0
reconstructed,2,561,-2212,-2212,12
reconstructed,2,561,2212,2212,0
reconstructed,3,261,0,unassigned,320
reconstructed,3,261,-11,e+,51
reconstructed,3,261,11,e−,117
reconstructed,3,261,-211,π−,176
reconstructed,3,261,211,π+,76
reconstructed,3,261,-321,K−,23
reconstructed,3,261,321,K+,13
reconstructed,3,261,-2212,-2212,4
reconstructed,3,261,2212,2212,3
reconstructed,4,62,0,unassigned,105
reconstructed,4,62,-11,e+,20
reconstructed,4,62,11,e−,25
reconstructed,4,62,-211,π−,58
reconstructed,4,62,211,π+,21
reconstructed,4,62,-321,K−,12
reconstructed,4,62,321,K+,5
reconstructed,4,62,-2212,-2212,2
reconstructed,4,62,2212,2212,0
reconstructed,5,6,0,unassigned,10
reconstructed,5,6,-11,e+,3
reconstructed,5,6,11,e−,2
reconstructed,5,6,-211,π−,10
reconstructed,5,6,211,π+,4
reconstructed,5,6,-321,K−,0
reconstructed,5,6,321,K+,1
reconstructed,5,6,-2212,-2212,0
reconstructed,5,6,2212,2212,0
truth,1,1107,-11,e+,1
truth,1,1107,11,e−,385
truth,1,1107,-13,μ+,2
truth,1,1107,13,μ−,328
truth,1,1107,22,γ,11
truth,1,1107,130,KL0,1
truth,1,1107,-211,π−,359
truth,1,1107,211,π+,1
truth,1,1107,-321,K−,19
truth,1,1107,321,K+,0
truth,2,561,-11,e+,0
truth,2,561,11,e−,0
truth,2,561,-13,μ+,0
truth,2,561,13,μ−,0
truth,2,561,22,γ,532
truth,2,561,130,KL0,10
truth,2,561,-211,π−,552
truth,2,561,211,π+,17
truth,2,561,-321,K−,11
truth,2,561,321,K+,0
truth,3,261,-11,e+,4
truth,3,261,11,e−,6
truth,3,261,-13,μ+,0
truth,3,261,13,μ−,0
truth,3,261,22,γ,92
truth,3,261,130,KL0,1
truth,3,261,-211,π−,457
truth,3,261,211,π+,210
truth,3,261,-321,K−,12
truth,3,261,321,K+,1
truth,4,62,-11,e+,3
truth,4,62,11,e−,3
truth,4,62,-13,μ+,0
truth,4,62,13,μ−,0
truth,4,62,22,γ,66
truth,4,62,130,KL0,0
truth,4,62,-211,π−,117
truth,4,62,211,π+,57
truth,4,62,-321,K−,2
truth,4,62,321,K+,0
truth,5,6,-11,e+,0
truth,5,6,11,e−,0
truth,5,6,-13,μ+,0
truth,5,6,13,μ−,0
truth,5,6,22,γ,8
truth,5,6,130,KL0,0
truth,5,6,-211,π−,14
truth,5,6,211,π+,8
truth,5,6,-321,K−,0
truth,5,6,321,K+,0
